qualifyId,raceId,driverId,constructorId,number,position,q1,q2,q3
2517,253,85,30,17,20,1:24.696,NoData,NoData
2518,253,89,29,10,21,1:24.900,NoData,NoData
2519,253,64,28,21,22,1:25.157,NoData,NoData
2520,253,90,28,22,23,1:26.098,NoData,NoData
2521,253,98,30,16,24,1:27.853,NoData,NoData
2522,254,14,3,6,1,1:14.013,NoData,NoData
2523,254,71,3,5,2,1:14.213,NoData,NoData
2524,254,30,22,1,3,1:14.284,NoData,NoData
2525,254,55,6,27,4,1:14.919,NoData,NoData
2526,254,77,6,28,5,1:14.974,NoData,NoData
2527,254,56,17,15,6,1:15.354,NoData,NoData
2528,254,65,22,2,7,1:15.556,NoData,NoData
2529,254,49,15,30,8,1:15.561,NoData,NoData
2530,254,44,27,26,9,1:15.621,NoData,NoData
2531,254,87,1,7,10,1:15.652,NoData,NoData
2532,254,22,17,14,11,1:15.774,NoData,NoData
2533,254,76,1,8,12,1:16.339,NoData,NoData
2534,254,88,27,25,13,1:16.519,NoData,NoData
2535,254,83,18,23,14,1:16.596,NoData,NoData
2536,254,96,15,29,15,1:16.646,NoData,NoData
2537,254,69,18,24,16,1:16.887,NoData,NoData
2538,254,79,25,3,17,1:17.014,NoData,NoData
2539,254,63,25,4,18,1:17.213,NoData,NoData
2540,254,81,29,9,19,1:18.114,NoData,NoData
2541,254,89,29,10,20,1:18.212,NoData,NoData
2542,254,64,28,21,21,1:19.579,NoData,NoData
2543,254,90,28,22,22,1:19.745,NoData,NoData
2544,254,85,30,17,23,1:20.093,NoData,NoData
2545,254,92,30,16,24,1:21.405,NoData,NoData
2546,255,30,22,1,1,1:38.023,NoData,NoData
2547,255,55,6,27,2,1:38.888,NoData,NoData
2548,255,57,1,8,3,1:38.954,NoData,NoData
2549,255,71,3,5,4,1:39.032,NoData,NoData
2550,255,77,6,28,5,1:39.040,NoData,NoData
2551,255,14,3,6,6,1:39.155,NoData,NoData
2552,255,56,17,15,7,1:39.621,NoData,NoData
2553,255,49,15,30,8,1:40.010,NoData,NoData
2554,255,65,22,2,9,1:40.349,NoData,NoData
2555,255,22,17,14,10,1:40.381,NoData,NoData
2556,255,44,27,26,11,1:40.838,NoData,NoData
2557,255,63,25,4,12,1:41.355,NoData,NoData
2558,255,88,27,25,13,1:41.592,NoData,NoData
2559,255,79,25,3,14,1:41.977,NoData,NoData
2560,255,81,29,9,15,1:42.059,NoData,NoData
2561,255,91,15,29,16,1:42.912,NoData,NoData
2562,255,83,18,23,17,1:43.102,NoData,NoData
2563,255,69,18,24,18,1:43.542,NoData,NoData
2564,255,89,29,10,19,1:44.074,NoData,NoData
2565,255,85,30,17,20,1:46.097,NoData,NoData
2566,255,64,28,21,21,1:46.654,NoData,NoData
2567,255,90,28,22,22,1:48.267,NoData,NoData
2568,255,92,30,16,23,1:48.289,NoData,NoData
2569,255,87,1,7,24,16:42.640,NoData,NoData
2570,256,71,3,5,1,NoData,NoData,NoData
2571,256,14,3,6,2,NoData,NoData,NoData
2572,256,30,22,1,3,NoData,NoData,NoData
2573,256,77,6,28,4,NoData,NoData,NoData
2574,256,55,6,27,5,NoData,NoData,NoData
2575,256,49,15,30,6,NoData,NoData,NoData
2576,256,22,17,14,7,NoData,NoData,NoData
2577,256,65,22,2,8,NoData,NoData,NoData
2578,256,56,17,15,9,NoData,NoData,NoData
2579,256,87,1,7,10,NoData,NoData,NoData
2580,256,84,27,25,11,NoData,NoData,NoData
2581,256,44,27,26,12,NoData,NoData,NoData
2582,256,81,29,9,13,NoData,NoData,NoData
2583,256,63,25,4,14,NoData,NoData,NoData
2584,256,69,18,24,15,NoData,NoData,NoData
2585,256,79,25,3,16,NoData,NoData,NoData
2586,256,83,18,23,17,NoData,NoData,NoData
2587,256,91,15,29,18,NoData,NoData,NoData
2588,256,89,29,10,19,NoData,NoData,NoData
2589,256,90,28,22,20,NoData,NoData,NoData
2590,256,64,28,21,21,NoData,NoData,NoData
2591,256,85,30,16,22,NoData,NoData,NoData
2592,256,92,30,16,23,NoData,NoData,NoData
2593,256,57,1,8,24,NoData,NoData,NoData
2594,257,102,3,2,1,1:15.962,NoData,NoData
2595,257,30,22,5,2,1:16.290,NoData,NoData
2596,257,55,6,27,3,1:17.385,NoData,NoData
2597,257,71,3,0,4,1:17.554,NoData,NoData
2598,257,49,15,30,5,1:17.806,NoData,NoData
2599,257,81,29,10,6,1:17.866,NoData,NoData
2600,257,91,15,29,7,1:17.927,NoData,NoData
